"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"120","ForeverJung90","egend",0.81,0.81,0.8,0.82,0.82,0.82,0.0471405683333334,1.21477864426451,"Intuition/Theory",1,1
"121","Lotus","egend",0.8,0.83,0.85,0.8,0.81,0.79,0.047875429,1.23371547671982,"Intuition/Theory",2,0
"122","BlackSwan","egend",0.8,0.8,0.85,0.85,0.8,0.8,0.0504739016666667,1.3006762541303,"Hybrid",2,1
"123","BRTWN","egend",0.8195394,0.8199418,0.8198483,0.819565,0.8150433,0.8176452,0.0524044016666667,1.35042385488407,"Data-Driven",2,1
"124","1859","egend",0.797938545326538,0.774065183624998,0.824353112056263,0.821540859199014,0.850736460136873,0.850526650203486,0.0536673700911953,1.38296964558497,"Data-Driven",2,1
"125","Team Social Psychological Skill","egend",0.824414458307878,0.827607331348518,0.823382855170919,0.817203506218637,0.818619072873664,0.814302754862125,0.0547288981302902,1.4103244619941,"Hybrid",2,0
"126","A Woman Scientist","egend",0.84,0.79,0.81,0.79,0.84,0.87,0.0571405683333334,1.47247147386188,"Intuition/Theory",1,0
"127","Team Blue Skies","egend",0.829495415186915,0.829495415186915,0.829495415186915,0.829495415186915,0.829495415186915,0.829495415186915,0.0633026501869151,1.6312639047679,"Intuition/Theory",2,0
"128","Team42","egend",0.87,0.85,0.79,0.8,0.81,0.86,0.063807235,1.64426669359347,"Hybrid",2,0
"129","Average Joes","egend",0.83,0.83,0.83,0.83,0.83,0.83,0.063807235,1.64426669359347,"Data-Driven",2,1
"130","ForeverJung90","egend",0.81,0.81,0.81,0.85,0.85,0.85,0.063807235,1.64426669359347,"Intuition/Theory",2,1
"131","AbCdEfG","egend",0.8327,0.8328,0.8328,0.8328,0.8328,0.8328,0.0665905683333333,1.7159911978314,"Data-Driven",1,0
"132","Average Joes","egend",0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.836946064625193,0.0707532996251931,1.82326179837669,"Data-Driven",1,1
"133","Lady in Black","egend",0.85,0.84,0.84,0.84,0.84,0.83,0.073807235,1.90195952319084,"Intuition/Theory",2,0
"134","TheMets","egend",0.872,0.811,0.872,0.811,0.872,0.811,0.075307235,1.94061344763045,"Data-Driven",1,1
"135","Hi5","egend",0.8,0.85,0.85,0.85,0.85,0.85,0.0754739016666667,1.94490832812374,"Intuition/Theory",2,0
"136","TeamKL","egend",0.88,0.87,0.82,0.81,0.85,0.85,0.0804739016666667,2.07375474292243,"Intuition/Theory",1,1
"137","BlackSwan","egend",0.8,0.9,0.8,0.9,0.8,0.9,0.083807235,2.15965235278822,"Intuition/Theory",1,1
"138","Dragon","egend",0.85,0.85,0.85,0.85,0.85,0.85,0.083807235,2.15965235278822,"Intuition/Theory",2,0
"139","TAPE-Measurement","egend",0.832949912975024,0.842949912975024,0.852949912975024,0.862949912975024,0.872949912975024,0.882949912975024,0.091757147975024,2.3645159097469,"Intuition/Theory",2,0
"140","Haifa_Team","egend",0.85,0.9,0.79,0.85,0.93,0.96,0.113807235,2.93273084158034,"Intuition/Theory",1,0
"141","Imielin","egend",0.89,0.88,0.88,0.89,0.88,0.88,0.117140568333333,3.01862845144614,"Intuition/Theory",1,1
"142","LoneGradStudent","egend",0.9,0.95,0.9,0.88,0.86,0.84,0.122140568333333,3.14747486624482,"Intuition/Theory",2,0
"143","Sociology","egend",0.9,0.9,0.9,0.9,0.9,0.9,0.133807235,3.44811650077509,"Intuition/Theory",1,1
"144","Woodstock","egend",1,1,1,1,1,1,0.233807235,6.02504479674885,"Intuition/Theory",2,0
"145","Polarization Disciples","iafric",0.280210837778129,0.281778853239174,0.280495792987298,0.281964976226477,0.283075754009882,0.281790977966085,0.00124214504427717,0.147425890940776,"Data-Driven",2,0
